iter	Passed	Remaining
730	2952	1086
731	2956	1082
732	2959	1078
733	2963	1073
734	2966	1069
735	2969	1065
736	2972	1060
737	2976	1056
738	2979	1052
739	2982	1048
740	2986	1043
741	2989	1039
742	2993	1035
743	2996	1031
744	3000	1027
745	3003	1022
746	3007	1018
747	3010	1014
748	3014	1010
749	3017	1005
750	3021	1001
751	3024	997
752	3028	993
753	3031	989
754	3035	984
755	3038	980
756	3042	976
757	3046	972
758	3049	968
759	3053	964
760	3056	960
761	3060	955
762	3064	951
763	3067	947
764	3071	943
765	3074	939
766	3078	935
767	3081	931
768	3085	926
769	3089	922
770	3092	918
771	3096	914
772	3100	910
773	3103	906
774	3107	902
775	3110	897
776	3114	893
777	3117	889
778	3121	885
779	3125	881
780	3129	877
781	3133	873
782	3136	869
783	3140	865
784	3143	861
785	3147	857
786	3151	852
787	3155	848
788	3158	844
789	3162	840
790	3165	836
791	3169	832
792	3173	828
793	3177	824
794	3180	820
795	3184	816
796	3188	812
797	3192	808
798	3196	804
799	3199	799
800	3203	795
801	3207	791
802	3210	787
803	3214	783
804	3218	779
805	3221	775
806	3225	771
807	3229	767
808	3233	763
809	3236	759
810	3240	755
811	3244	751
812	3247	747
813	3251	743
814	3255	739
815	3259	734
816	3263	730
817	3267	726
818	3271	722
819	3275	718
820	3279	714
821	3283	710
822	3286	706
823	3290	702
824	3294	698
825	3298	694
826	3302	690
827	3306	686
828	3310	682
829	3313	678
830	3317	674
831	3321	670
832	3325	666
833	3329	662
834	3333	658
835	3337	654
836	3341	650
837	3344	646
838	3348	642
839	3352	638
840	3356	634
841	3360	630
842	3364	626
843	3368	622
844	3371	618
845	3375	614
846	3379	610
847	3383	606
848	3387	602
849	3391	598
850	3395	594
851	3399	590
852	3403	586
853	3407	582
854	3411	578
855	3414	574
856	3418	570
857	3422	566
858	3426	562
859	3430	558
860	3434	554
861	3438	550
862	3442	546
863	3446	542
864	3449	538
865	3453	534
866	3457	530
867	3461	526
868	3465	522
869	3469	518
870	3473	514
871	3477	510
872	3481	506
873	3485	502
874	3488	498
875	3492	494
876	3496	490
877	3500	486
878	3504	482
879	3508	478
880	3512	474
881	3515	470
882	3519	466
883	3523	462
884	3527	458
885	3531	454
886	3535	450
887	3539	446
888	3543	442
889	3547	438
890	3550	434
891	3554	430
892	3558	426
893	3562	422
894	3565	418
895	3569	414
896	3573	410
897	3577	406
898	3581	402
899	3585	398
900	3589	394
901	3593	390
902	3597	386
903	3601	382
904	3605	378
905	3608	374
906	3613	370
907	3616	366
908	3620	362
909	3624	358
910	3628	354
911	3632	350
912	3636	346
913	3639	342
914	3644	338
915	3648	334
916	3652	330
917	3656	326
918	3659	322
919	3663	318
920	3667	314
921	3671	310
922	3675	306
923	3679	302
924	3683	298
925	3686	294
926	3690	290
927	3693	286
928	3697	282
929	3700	278
930	3704	274
931	3708	270
932	3711	266
933	3715	262
934	3719	258
935	3723	254
936	3726	250
937	3730	246
938	3734	242
939	3737	238
940	3741	234
941	3745	230
942	3748	226
943	3752	222
944	3756	218
945	3760	214
946	3763	210
947	3767	206
948	3771	202
949	3775	198
950	3779	194
951	3782	190
952	3786	186
953	3790	182
954	3794	178
955	3798	174
956	3802	170
957	3806	166
958	3809	162
959	3813	158
960	3817	154
961	3820	150
962	3824	146
963	3828	142
964	3832	138
965	3836	135
966	3840	131
967	3843	127
968	3847	123
969	3851	119
970	3854	115
971	3858	111
972	3862	107
973	3866	103
974	3870	99
975	3874	95
976	3878	91
977	3882	87
978	3885	83
979	3889	79
980	3893	75
981	3897	71
982	3901	67
983	3905	63
984	3908	59
985	3912	55
986	3916	51
987	3920	47
988	3924	43
989	3927	39
990	3932	35
991	3935	31
992	3939	27
993	3943	23
994	3947	19
995	3951	15
996	3955	11
997	3959	7
998	3962	3
999	3966	0
