iter	RMSE
126	10.43446889
127	10.42800047
128	10.41064147
129	10.40045964
130	10.39247609
131	10.38207927
132	10.37437424
133	10.3671097
134	10.35896772
135	10.34141199
136	10.33163982
137	10.32436437
138	10.31617649
139	10.30635146
140	10.29313411
141	10.2815408
142	10.27444031
143	10.26661366
144	10.25322757
145	10.2361243
146	10.22969383
147	10.22433394
148	10.20953767
149	10.20049097
150	10.1952514
151	10.18571449
152	10.17944643
153	10.1682437
154	10.16065576
155	10.15140588
156	10.1462642
157	10.13877544
158	10.12817338
159	10.11900946
160	10.11034689
161	10.10094693
162	10.09516811
163	10.08660957
164	10.07901288
165	10.07342804
166	10.06234372
167	10.05103424
168	10.04102207
169	10.03321585
170	10.02089168
171	10.00846669
172	10.00337306
173	9.994540409
174	9.98605236
175	9.977090157
176	9.969762979
177	9.96081804
178	9.949613231
179	9.941656259
180	9.933779404
181	9.925257798
182	9.917308739
183	9.909878878
184	9.903800693
185	9.896403816
186	9.887217898
187	9.877416633
188	9.866299754
189	9.858321116
190	9.851459417
191	9.842816835
192	9.830407409
193	9.816671817
194	9.808432674
195	9.802302996
196	9.796454572
197	9.789743742
198	9.783784768
199	9.773386631
200	9.763587223
201	9.756138886
202	9.746884437
203	9.737705546
204	9.730580421
205	9.724221677
206	9.717205726
207	9.708362292
208	9.702178027
209	9.695614255
210	9.685692963
211	9.678358805
212	9.66569137
213	9.658911547
214	9.652455447
215	9.64355133
216	9.636894424
217	9.628731465
218	9.622213937
219	9.616348993
220	9.608971386
221	9.603967949
222	9.59552701
223	9.589335587
224	9.584272894
225	9.579033097
226	9.572795907
227	9.565234394
228	9.559510211
229	9.553765994
230	9.549143777
231	9.54310769
232	9.536813801
233	9.530306812
234	9.524976306
235	9.518732242
236	9.507933249
237	9.500850151
238	9.495117058
239	9.491235811
240	9.484119843
241	9.476455884
242	9.472268231
243	9.463691081
244	9.456565537
245	9.449881714
246	9.4433608
247	9.438187665
248	9.432070646
249	9.425992216
250	9.415710866
251	9.409880964
252	9.404205468
253	9.398987528
254	9.393827
255	9.385562292
256	9.376427238
257	9.369387903
258	9.365547975
259	9.359771046
260	9.352701203
261	9.347749163
262	9.342928679
263	9.339140795
264	9.332883067
265	9.327773753
266	9.324023711
267	9.317326833
268	9.308071768
269	9.301918635
270	9.297047543
271	9.289666273
272	9.284899962
273	9.280924204
274	9.275856698
275	9.269962173
276	9.264888056
277	9.260009353
278	9.254432799
279	9.251311107
280	9.245970012
281	9.240884846
282	9.235610093
283	9.230306371
284	9.226542115
285	9.221984818
286	9.213286218
287	9.209627203
288	9.205768608
289	9.199717113
290	9.193697746
291	9.186933756
292	9.177547042
293	9.173060142
294	9.168245874
295	9.162674359
296	9.156915946
297	9.151980122
298	9.148446734
299	9.141208404
300	9.136217434
301	9.132494121
302	9.124676912
303	9.119393004
304	9.116283826
305	9.11227214
306	9.107642603
307	9.101218531
308	9.094487061
309	9.088729667
310	9.083180986
311	9.078082291
312	9.07436186
313	9.069693989
314	9.064999811
315	9.059408518
316	9.053202453
317	9.046910028
318	9.044481628
319	9.040728911
320	9.034789178
321	9.030900559
322	9.025287865
323	9.020595041
324	9.01660379
325	9.013739547
326	9.009623744
327	9.004604559
328	9.000518348
329	8.993967145
330	8.989742362
331	8.98472269
332	8.980885974
333	8.977192834
334	8.973955278
335	8.966875137
336	8.960520762
337	8.95587276
338	8.950998382
339	8.943928857
340	8.939171725
341	8.932510307
342	8.928482707
343	8.922748058
344	8.920160618
345	8.915868147
346	8.912673093
347	8.908384017
348	8.904067396
349	8.899114165
350	8.895897852
351	8.888998657
352	8.884406272
353	8.88133312
354	8.87225883
355	8.867716196
356	8.862323301
357	8.858879428
358	8.856060477
359	8.852880377
360	8.848891262
361	8.843604793
362	8.838811246
363	8.831475206
364	8.828582662
365	8.824381195
366	8.817927749
367	8.815434235
368	8.810993269
369	8.807391209
370	8.8031042
371	8.798216824
372	8.793736323
373	8.790211743
374	8.784924928
375	8.780203306
376	8.775886564
377	8.772503881
378	8.767910245
379	8.76430053
380	8.761488796
381	8.758515686
382	8.755318079
383	8.751370392
384	8.747561974
385	8.741915097
386	8.738656504
387	8.735979819
388	8.730614072
389	8.727356551
390	8.723026871
391	8.718928068
392	8.714375039
393	8.711233771
394	8.707946731
395	8.703643593
396	8.699484827
397	8.696247692
398	8.691441879
399	8.687372167
400	8.682111688
401	8.679231017
402	8.676938932
403	8.67189279
404	8.670195176
405	8.666259836
406	8.662340626
407	8.657960665
408	8.654378881
409	8.649319977
410	8.645084105
411	8.639322507
412	8.636127635
413	8.632074687
414	8.628323017
415	8.626464358
416	8.622366034
417	8.618647895
418	8.615005049
419	8.612970557
420	8.609396618
421	8.603924735
422	8.600046868
423	8.59543593
424	8.591262289
425	8.588217909
426	8.584610649
427	8.579706554
428	8.573866751
429	8.570920464
430	8.567213994
431	8.56485463
432	8.560462449
433	8.557740072
434	8.553888436
435	8.551843154
436	8.547008004
437	8.542823474
438	8.538865058
439	8.537705401
440	8.53374499
441	8.530693796
442	8.527107539
443	8.523689284
444	8.519803474
445	8.516234084
446	8.511572968
447	8.507668301
448	8.50351274
449	8.501908114
450	8.498780814
451	8.494154198
452	8.490508458
453	8.489738916
454	8.484966136
455	8.482000739
456	8.475534575
457	8.470561729
458	8.466167234
459	8.463884999
460	8.460261648
461	8.457310313
462	8.453127706
463	8.448638087
464	8.446142247
465	8.441888198
466	8.438416411
467	8.434650294
468	8.430475432
469	8.426659482
470	8.422549014
471	8.41989636
472	8.4164817
473	8.413487267
474	8.410679015
475	8.408464186
476	8.405261282
477	8.401785041
478	8.400171025
479	8.396083724
480	8.391909076
481	8.38753739
482	8.383802759
483	8.377503112
484	8.377128981
485	8.374541819
486	8.370955788
487	8.368463662
488	8.364614997
489	8.361851521
490	8.359307137
491	8.355266414
492	8.352483095
493	8.349640919
494	8.346031506
495	8.344630624
496	8.344181065
497	8.339257612
498	8.336623781
499	8.333116385
500	8.329058323
501	8.325852067
502	8.32251045
503	8.317849423
504	8.313168094
505	8.308718069
506	8.305534511
507	8.301565102
508	8.296119947
509	8.292258692
510	8.290217579
511	8.288817053
512	8.288478921
513	8.284843982
514	8.280536405
515	8.27666315
516	8.273376181
517	8.268811537
518	8.265494769
519	8.265173083
520	8.261985785
521	8.260070979
522	8.256566232
523	8.253542055
524	8.250560158
525	8.246924693
526	8.244462122
527	8.24415303
528	8.241992239
529	8.239657085
530	8.236684209
531	8.23381349
532	8.232300395
533	8.229080072
534	8.222516611
535	8.219792584
536	8.216719419
537	8.213011446
538	8.209729308
539	8.206064895
540	8.201869834
541	8.198342307
542	8.198045066
543	8.197030103
544	8.195375435
545	8.191640719
546	8.187951946
547	8.184109865
548	8.183825776
549	8.181121836
550	8.177736827
551	8.175779867
552	8.172785666
553	8.168719515
554	8.164922994
555	8.163008614
556	8.160294469
557	8.157015955
558	8.155608324
559	8.152746188
560	8.149490379
561	8.145151858
562	8.14132495
563	8.138922299
564	8.135925611
565	8.132325377
566	8.129224899
567	8.126754636
568	8.124050861
569	8.121631196
570	8.118265667
571	8.114599579
572	8.112206654
573	8.106954624
574	8.104612738
575	8.102833255
576	8.100086067
577	8.097506104
578	8.093195034
579	8.090244624
580	8.087368815
581	8.08552146
582	8.082951508
583	8.079433331
584	8.076901519
585	8.072338117
586	8.069481364
587	8.065097337
588	8.06387209
589	8.059736116
590	8.057567618
591	8.052664698
592	8.049443853
593	8.044985158
594	8.041668481
595	8.039665079
596	8.036141631
597	8.031282002
598	8.0287386
599	8.025436912
600	8.020950159
601	8.01980104
602	8.01730535
603	8.017039804
604	8.015043185
605	8.012711929
606	8.00916321
607	8.006259687
608	8.003477442
609	8.001310143
610	7.99837851
611	7.993978354
612	7.992001987
613	7.989033223
614	7.986438246
615	7.98383473
616	7.980429143
617	7.978221992
618	7.97628918
619	7.972348042
620	7.972108674
621	7.96934084
622	7.969110904
623	7.966858973
624	7.964190981
625	7.960141606
626	7.956545681
627	7.954268454
628	7.950624167
629	7.948803152
630	7.946425117
631	7.943091214
632	7.940920446
633	7.938170305
634	7.935214701
635	7.932374552
636	7.929823196
637	7.92701385
638	7.924947453
639	7.921451513
640	7.91845109
641	7.914751199
642	7.911312078
643	7.90859367
644	7.906590852
645	7.902700855
646	7.900515005
647	7.898102079
648	7.894467525
649	7.892905122
650	7.888601755
651	7.885272956
652	7.880652221
653	7.877594458
654	7.876291314
655	7.873992895
656	7.869316318
657	7.86688223
658	7.862650677
659	7.858649991
660	7.854912185
661	7.851158262
662	7.84733786
663	7.845259442
664	7.843182073
665	7.839938738
666	7.837374685
667	7.83466805
668	7.830543126
669	7.827847093
670	7.826336814
671	7.823620267
672	7.818127325
673	7.813854247
674	7.811626806
675	7.811399635
676	7.808760021
677	7.80215813
678	7.799232883
679	7.797080299
680	7.795137373
681	7.793195883
682	7.789302492
683	7.786228203
684	7.783322976
685	7.781096955
686	7.778096784
687	7.774373983
688	7.772674239
689	7.770578467
690	7.767287812
691	7.765910527
692	7.7624298
693	7.760943858
694	7.758684936
695	7.757518784
696	7.753271482
697	7.753052713
698	7.749339306
699	7.745911021
700	7.74297177
701	7.739601
702	7.733369983
703	7.730840394
704	7.72835132
705	7.72680353
706	7.724694212
707	7.722267555
708	7.718209967
709	7.714675894
710	7.712606315
711	7.710509409
712	7.706563943
713	7.704519095
714	7.700690938
715	7.697841581
716	7.695750525
717	7.693655121
718	7.689718576
719	7.687533205
720	7.684530058
721	7.684322043
722	7.682638372
723	7.678726054
724	7.67694446
725	7.674476239
726	7.672218704
727	7.667647749
728	7.66554019
729	7.663675829
730	7.659603829
731	7.656877717
732	7.652865949
733	7.648189973
734	7.648002622
735	7.645470733
736	7.643530073
737	7.641765765
738	7.639060304
739	7.637525453
740	7.63470286
741	7.631608922
742	7.628074935
743	7.621273791
744	7.618505448
745	7.615955799
746	7.613848173
747	7.610133482
748	7.608115595
749	7.605931633
750	7.601557812
751	7.599490767
752	7.596746385
753	7.593922054
754	7.591712729
755	7.588362122
756	7.585929648
757	7.582591314
758	7.578338779
759	7.575028737
760	7.572169514
761	7.569381937
762	7.566712076
763	7.564177977
764	7.56200334
765	7.560235119
766	7.560039552
767	7.557336181
768	7.55353907
769	7.551018107
770	7.548242937
771	7.545809009
772	7.543446894
773	7.541221892
774	7.541034438
775	7.538722617
776	7.536218559
777	7.53218018
778	7.528063338
779	7.525483357
780	7.520630289
781	7.518081413
782	7.514140536
783	7.512473545
784	7.51061426
785	7.508737271
786	7.506900431
787	7.503300344
788	7.500539846
789	7.49850297
790	7.495871266
791	7.493749076
792	7.490852091
793	7.489092395
794	7.485573205
795	7.482616927
796	7.479850123
797	7.47727713
798	7.474062256
799	7.471693065
800	7.469653659
801	7.467499554
802	7.463734531
803	7.46111947
804	7.459757635
805	7.458341202
806	7.458160147
807	7.454941452
808	7.451308273
809	7.448084468
810	7.446019843
811	7.444154672
812	7.441280216
813	7.438451097
814	7.436061274
815	7.434203669
816	7.431824365
817	7.428804233
818	7.425552296
819	7.422009983
820	7.419070962
821	7.414940517
822	7.412644328
823	7.41246797
824	7.409151333
825	7.405814281
826	7.405683711
827	7.403331904
828	7.40088288
829	7.398920488
830	7.396925956
831	7.394034269
832	7.39167693
833	7.388600644
834	7.386101448
835	7.383094893
836	7.38204672
837	7.381922365
838	7.37878235
839	7.377277067
840	7.375675537
841	7.373032809
842	7.369622864
843	7.365998093
844	7.363857053
845	7.360256044
846	7.358166609
847	7.354385654
848	7.351852065
849	7.349832449
850	7.34788851
851	7.345412952
852	7.342367178
853	7.341540008
854	7.339782818
855	7.337631473
856	7.33534812
857	7.332950762
858	7.329405672
859	7.326806608
860	7.325480961
861	7.322929561
862	7.321236244
863	7.317439317
864	7.315562238
865	7.313492649
866	7.310672305
867	7.305645184
868	7.303087691
869	7.299959114
870	7.297457098
871	7.295604399
872	7.293427793
873	7.290376252
874	7.288785447
875	7.286724579
876	7.284969235
877	7.281933178
878	7.278686363
879	7.276439627
880	7.273733474
881	7.270377673
882	7.26801986
883	7.264517199
884	7.262693519
885	7.260864356
886	7.257943612
887	7.256663392
888	7.253730678
889	7.251150196
890	7.249480306
891	7.249322531
892	7.245519386
893	7.241352103
894	7.237865625
895	7.235293129
896	7.233935574
897	7.230827518
898	7.230026431
899	7.227450277
900	7.2250357
901	7.223429846
902	7.220094931
903	7.218528017
904	7.215483235
905	7.210420034
906	7.208295363
907	7.20600042
908	7.204117831
909	7.201145247
910	7.199452423
911	7.195706001
912	7.192342666
913	7.190567442
914	7.188012123
915	7.185461811
916	7.182000091
917	7.18185863
918	7.179677801
919	7.177263379
920	7.176262823
921	7.173884474
922	7.17175827
923	7.169033758
924	7.167224022
925	7.165285545
926	7.162096042
927	7.160940198
928	7.158994504
929	7.155328928
930	7.151919602
931	7.149815725
932	7.147092113
933	7.14290642
934	7.141697959
935	7.138933836
936	7.136309285
937	7.133290636
938	7.132136399
939	7.131999925
940	7.129595822
941	7.127955283
942	7.125892877
943	7.124948139
944	7.122312279
945	7.120456033
946	7.117160485
947	7.115502127
948	7.112268207
949	7.110099884
950	7.106619224
951	7.10445031
952	7.102679499
953	7.099607284
954	7.09720474
955	7.093599499
956	7.09130365
957	7.089882227
958	7.087804818
959	7.085525768
960	7.082701978
961	7.080282852
962	7.079407616
963	7.074784804
964	7.072006328
965	7.069934519
966	7.067589725
967	7.067459338
968	7.066687307
969	7.066561652
970	7.064440488
971	7.061881201
972	7.059178487
973	7.056392119
974	7.053826756
975	7.051772178
976	7.049872104
977	7.047085824
978	7.045203167
979	7.04327216
980	7.041625219
981	7.039241584
982	7.036489998
983	7.033306384
984	7.031493493
985	7.028174171
986	7.026000121
987	7.021920898
988	7.019932076
989	7.017601171
990	7.014626156
991	7.012268228
992	7.011025433
993	7.009465361
994	7.007770243
995	7.005259365
996	7.003688532
997	7.00035624
998	6.998862979
999	6.995684239
